,F1-score,Baseline F1-score,Feature Impact
underdog,0.7908939762117918,0.791757327531038,-0.0008633513192461972
underdog_opp,0.7898643460455593,0.791757327531038,-0.001892981485478673
fan_favorite,0.7936507936507936,0.791757327531038,0.0018934661197556046
fan_favorite_opp,0.7921628889742605,0.791757327531038,0.00040556144322245746
de,0.7908764736032803,0.791757327531038,-0.0008808539277577188
oe,0.7926891615541922,0.791757327531038,0.000931834023154221
te,0.7914643496038846,0.791757327531038,-0.0002929779271534372
pace,0.7923707117255504,0.791757327531038,0.0006133841945124008
physicality_score,0.792940273692288,0.791757327531038,0.0011829461612500314
sos,0.7927904895820019,0.791757327531038,0.0010331620509639317
srs,0.7906206193449726,0.791757327531038,-0.0011367081860653716
fg,0.7907333930628441,0.791757327531038,-0.0010239344681939322
fga,0.7914959016393444,0.791757327531038,-0.00026142589169364516
fg%,0.7920184190330007,0.791757327531038,0.0002610915019627402
3p,0.7930813581037797,0.791757327531038,0.0013240305727416635
3pa,0.7921096451902139,0.791757327531038,0.00035231765917587143
3p%,0.7932446264073696,0.791757327531038,0.0014872988763315886
ft,0.7918482440399897,0.791757327531038,9.091650895165504e-05
fta,0.7911077041011881,0.791757327531038,-0.000649623429849866
ft%,0.7904834996162701,0.791757327531038,-0.0012738279147679332
orb,0.7906618778860954,0.791757327531038,-0.00109544964494257
drb,0.7931387608806963,0.791757327531038,0.0013814333496583453
trb,0.7919067742348572,0.791757327531038,0.00014944670381922265
ast,0.791800128122998,0.791757327531038,4.280059196004604e-05
stl,0.7936507936507936,0.791757327531038,0.0018934661197556046
blk,0.7920286152273889,0.791757327531038,0.0002712876963508748
pf,0.7934476580496544,0.791757327531038,0.0016903305186164452
tov,0.7917146144994245,0.791757327531038,-4.271303161351714e-05
tov%,0.7919549064821931,0.791757327531038,0.0001975789511551307
poss,0.7905725630844114,0.791757327531038,-0.0011847644466266294
ast_per_poss,0.7902751119641716,0.791757327531038,-0.0014822155668664516
ast_per_fg,0.7936629615433756,0.791757327531038,0.0019056340123375648
tov_per_poss,0.7907810499359795,0.791757327531038,-0.0009762775950584723
ast_to_tov,0.791757327531038,0.791757327531038,0.0
poss_per_game,0.7916026625704045,0.791757327531038,-0.00015466496063354374
game_win_rate,0.7868515665125835,0.791757327531038,-0.004905761018454524
gpt_sent_score_avg,0.790584623257004,0.791757327531038,-0.001172704274034042
de_opp,0.7922742389357892,0.791757327531038,0.0005169114047511858
oe_opp,0.79029374201788,0.791757327531038,-0.00146358551315795
te_opp,0.7930813581037797,0.791757327531038,0.0013240305727416635
pace_opp,0.7912031709500064,0.791757327531038,-0.0005541565810316396
physicality_score_opp,0.792737501598261,0.791757327531038,0.0009801740672229498
sos_opp,0.7927720107650903,0.791757327531038,0.0010146832340522938
srs_opp,0.7916399538402359,0.791757327531038,-0.0001173736908021139
fg_opp,0.7920614596670934,0.791757327531038,0.0003041321360554017
fga_opp,0.7935450819672132,0.791757327531038,0.0017877544361751818
fg%_opp,0.7913577090258245,0.791757327531038,-0.00039961850521352815
3p_opp,0.7910906298003072,0.791757327531038,-0.0006666977307308031
3pa_opp,0.7922161054922545,0.791757327531038,0.0004587779612165166
3p%_opp,0.7915865076311401,0.791757327531038,-0.00017081989989786717
ft_opp,0.7919015889287545,0.791757327531038,0.00014426139771650526
fta_opp,0.7904237613621815,0.791757327531038,-0.0013335661688564926
ft%_opp,0.7906381890267297,0.791757327531038,-0.0011191385043083368
orb_opp,0.791645310097386,0.791757327531038,-0.00011201743365196748
drb_opp,0.7918638864014328,0.791757327531038,0.00010655887039479062
trb_opp,0.7923175416133162,0.791757327531038,0.0005602140822782431
ast_opp,0.7912453602969409,0.791757327531038,-0.0005119672340970771
stl_opp,0.7918106206014075,0.791757327531038,5.329307036949782e-05
blk_opp,0.79269383062971,0.791757327531038,0.0009365030986719924
pf_opp,0.7902875399361022,0.791757327531038,-0.0014697875949357675
tov_opp,0.7907987220447286,0.791757327531038,-0.0009586054863094384
tov%_opp,0.7924721546536935,0.791757327531038,0.0007148271226554703
poss_opp,0.7932004089979551,0.791757327531038,0.0014430814669170733
ast_per_poss_opp,0.7897238278741168,0.791757327531038,-0.002033499656921234
ast_per_fg_opp,0.7908287434353786,0.791757327531038,-0.0009285840956594349
tov_per_poss_opp,0.790221425828747,0.791757327531038,-0.0015359017022910093
ast_to_tov_opp,0.7910485933503837,0.791757327531038,-0.0007087341806543135
poss_per_game_opp,0.7914479580079375,0.791757327531038,-0.0003093695231004556
game_win_rate_opp,0.7890403910470799,0.791757327531038,-0.002716936483958099
gpt_sent_score_avg_opp,0.7925300588385775,0.791757327531038,0.0007727313075395204
conf_rank,0.7912876361306854,0.791757327531038,-0.0004696914003525787
conf_rank_opp,0.7906857727737974,0.791757327531038,-0.0010715547572406336
luck,0.7936020473448497,0.791757327531038,0.0018447198138117349
luck_opp,0.7920286152273889,0.791757327531038,0.0002712876963508748
choke_rate,0.7929312331924703,0.791757327531038,0.001173905661432273
choke_rate_opp,0.7919600563308156,0.791757327531038,0.00020272879977756286
upset_rate,0.7903824018416677,0.791757327531038,-0.0013749256893702544
upset_rate_opp,0.7911020199437484,0.791757327531038,-0.0006553075872895997
3mean_plus_minus,0.7923175416133162,0.791757327531038,0.0005602140822782431
3mean_plus_minus_opp,0.7923755916592043,0.791757327531038,0.0006182641281663459
win_streak,0.7908997955010225,0.791757327531038,-0.0008575320300154843
win_streak_opp,0.792622005892148,0.791757327531038,0.0008646783611100384
matchup_win_rate,0.7644151565074137,0.791757327531038,-0.02734217102362435
