team,gpt_sent_score_avg
Abilene Christian,48.666666666666664
Air Force,61.333333333333336
Akron,75.33333333333333
Alabama,85.0
Alabama A&M,65.0
Alabama State,54.666666666666664
Albany (NY),64.0
Alcorn State,68.33333333333333
American,68.0
Appalachian State,72.0
Arizona,85.66666666666667
Arizona State,73.0
Arkansas,77.33333333333333
Arkansas Pine Bluff,52.333333333333336
Arkansas State,56.0
Army West Point,73.66666666666667
Auburn,72.33333333333333
Austin Peay,63.0
Ball State,64.33333333333333
Baylor,82.0
Bellarmine,68.33333333333333
Belmont,70.33333333333333
Bethune Cookman,63.666666666666664
Binghamton,67.33333333333333
Boise State,72.66666666666667
Boston,67.33333333333333
Boston College,67.33333333333333
Bowling Green State,68.33333333333333
Bradley,73.66666666666667
Brigham Young,75.66666666666667
Brown,68.0
Bryant,65.33333333333333
Bucknell,66.66666666666667
Buffalo,55.666666666666664
Butler,71.33333333333333
California,58.333333333333336
California Baptist,73.66666666666667
California Poly,52.0
California State Bakersfield,63.333333333333336
California State Fullerton,65.66666666666667
California State Northridge,72.0
Campbell,71.33333333333333
Canisius,68.33333333333333
Central Arkansas,48.666666666666664
Central Connecticut State,62.0
Central Florida,79.66666666666667
Central Michigan,61.0
Charleston Southern,57.333333333333336
Charlotte,69.33333333333333
Chattanooga,76.0
Chicago State,38.0
Cincinnati,72.0
Clemson,72.66666666666667
Cleveland State,71.66666666666667
Coastal Carolina,34.666666666666664
Colgate,72.0
College of Charleston,84.0
Colorado,58.0
Colorado State,73.66666666666667
Columbia,50.0
Connecticut,88.33333333333333
Coppin State,34.666666666666664
Cornell,67.33333333333333
Creighton,85.66666666666667
Dartmouth,56.0
Davidson,73.33333333333333
Dayton,77.33333333333333
DePaul,52.0
Delaware,71.0
Delaware State,52.333333333333336
Denver,60.333333333333336
Detroit Mercy,22.666666666666668
Drake,73.0
Drexel,72.66666666666667
Duke,85.66666666666667
Duquesne,69.66666666666667
East Carolina,66.66666666666667
East Tennessee State,73.33333333333333
Eastern Illinois,58.0
Eastern Kentucky,70.66666666666667
Eastern Michigan,46.666666666666664
Eastern Washington,69.66666666666667
Elon,68.0
Evansville,59.0
Fairfield,72.0
Fairleigh Dickinson,67.66666666666667
Florida,73.0
Florida A&M,70.33333333333333
Florida Atlantic,85.66666666666667
Florida Gulf Coast,63.0
Florida International,66.0
Florida State,73.66666666666667
Fordham,73.33333333333333
Fresno State,68.66666666666667
Furman,71.33333333333333
Gardner Webb,72.66666666666667
George Mason,75.0
George Washington,76.0
Georgetown,51.666666666666664
Georgia,68.33333333333333
Georgia Southern,37.333333333333336
Georgia State,72.0
Georgia Tech,67.0
Gonzaga,70.66666666666667
Grambling State,68.0
Grand Canyon,78.0
Green Bay,50.0
Hampton,67.33333333333333
Hartford,47.333333333333336
Harvard,71.0
Hawaii,75.0
High Point,70.33333333333333
Hofstra,72.0
Holy Cross,63.0
Houston,85.33333333333333
Houston Christian,64.0
Howard,69.33333333333333
IUPUI,45.0
Idaho,50.0
Idaho State,52.0
Illinois,74.0
Illinois Chicago,52.333333333333336
Illinois State,70.66666666666667
Incarnate Word,52.333333333333336
Indiana,77.33333333333333
Indiana State,82.0
Iona,68.0
Iowa,75.33333333333333
Iowa State,87.33333333333333
Jackson State,70.66666666666667
Jacksonville,63.333333333333336
Jacksonville State,64.33333333333333
James Madison,82.0
Kansas,75.66666666666667
Kansas State,81.33333333333333
Kennesaw State,72.66666666666667
Kent State,70.66666666666667
Kentucky,82.66666666666667
LIU Brooklyn,66.66666666666667
La Salle,64.0
Lafayette,67.33333333333333
Lamar,69.33333333333333
Le Moyne,74.33333333333333
Lehigh,65.33333333333333
Liberty,50.0
Lindenwood,53.0
Lipscomb,72.0
Little Rock,66.66666666666667
